Tiempo;Evento
60.43;> Despegue izquierdo
60.86;< Contacto inicial izquierdo
60.93;> Despegue derecho
61.36;< Contacto inicial derecho
61.45;> Despegue izquierdo
61.85;< Contacto inicial izquierdo
61.92;> Despegue derecho
62.35;< Contacto inicial derecho
62.44;> Despegue izquierdo
62.86;< Contacto inicial izquierdo
62.93;> Despegue derecho
63.36;< Contacto inicial derecho
63.45;> Despegue izquierdo
63.85;< Contacto inicial izquierdo
63.92;> Despegue derecho
64.35;< Contacto inicial derecho
64.44;> Despegue izquierdo
64.85;< Contacto inicial izquierdo
64.92;> Despegue derecho
65.36;< Contacto inicial derecho
65.45;> Despegue izquierdo
65.81;< Contacto inicial izquierdo
65.91;> Despegue derecho
