Tiempo;Evento
62.28;> Despegue derecho
62.77;< Contacto inicial derecho
62.83;> Despegue izquierdo
63.2;< Contacto inicial izquierdo
63.27;> Despegue derecho
63.73;< Contacto inicial derecho
63.79;> Despegue izquierdo
64.14;< Contacto inicial izquierdo
64.21;> Despegue derecho
64.66;< Contacto inicial derecho
64.73;> Despegue izquierdo
65.1;< Contacto inicial izquierdo
65.17;> Despegue derecho
65.63;< Contacto inicial derecho
65.7;> Despegue izquierdo
66.06;< Contacto inicial izquierdo
66.13;> Despegue derecho
66.58;< Contacto inicial derecho
66.65;> Despegue izquierdo
67;< Contacto inicial izquierdo
67.07;> Despegue derecho
67.51;< Contacto inicial derecho
67.58;> Despegue izquierdo
67.94;< Contacto inicial izquierdo
68.01;> Despegue derecho
68.48;< Contacto inicial derecho
68.54;> Despegue izquierdo
68.91;< Contacto inicial izquierdo
68.97;> Despegue derecho
69.42;< Contacto inicial derecho
69.48;> Despegue izquierdo
69.87;< Contacto inicial izquierdo
69.93;> Despegue derecho
70.36;< Contacto inicial derecho
70.43;> Despegue izquierdo
70.79;< Contacto inicial izquierdo
70.86;> Despegue derecho
71.29;< Contacto inicial derecho
71.37;> Despegue izquierdo
71.55;< Contacto inicial izquierdo
71.69;> Despegue derecho
72.15;< Contacto inicial derecho
72.18;> Despegue izquierdo
73.06;< Contacto inicial derecho
