Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
9.75	0.409706	0.555974	0.623834	0.365877	0.250839	0.597083	0.671184	0.36067	0.351878	0.555958	0.591122	0.466548	0.376323	0.546465	0.586107	0.465012	0.379093	0.452758	0.672908	0.445526	0.410686	0.821431	0.277768	0.281839	0.433558	0.851983	0.197003	0.217585	0.361216	0.641974	0.570025	0.363956	-0.106927	0.716434	0.0827246	0.684431	-0.170217	0.674352	0.168236	0.69855	-0.225656	0.663791	0.236841	0.672583	0.62498	0.0301621	0.718654	-0.30336	0.625323	0.259228	0.696116	-0.239154	0.625656	0.22951	0.721266	-0.188825	0.385489	0.649496	0.53125	0.383832
9.76	0.403044	0.564416	0.621642	0.364077	0.242272	0.614641	0.666437	0.345517	0.357357	0.555116	0.584515	0.471682	0.387711	0.544646	0.582703	0.462059	0.37358	0.440466	0.682688	0.447621	0.415821	0.811013	0.28789	0.294057	0.433039	0.844255	0.217677	0.228752	0.365077	0.643557	0.565091	0.365	-0.0972378	0.719412	0.0755116	0.683586	-0.157242	0.672925	0.16239	0.704327	-0.215554	0.660501	0.238749	0.678435	0.636272	0.0292704	0.712571	-0.294182	0.636382	0.260259	0.687058	-0.23502	0.638609	0.233187	0.709195	-0.186668	0.388951	0.64988	0.528238	0.383846
9.77	0.394614	0.573016	0.620896	0.361139	0.236113	0.630097	0.660955	0.332216	0.363426	0.552849	0.579986	0.475285	0.39649	0.543479	0.58082	0.458338	0.36817	0.429084	0.691315	0.449912	0.421503	0.79891	0.301662	0.305087	0.437686	0.830763	0.243437	0.242903	0.36956	0.644469	0.560122	0.366535	-0.0895242	0.722416	0.0705447	0.682	-0.14273	0.671658	0.156667	0.709901	-0.205219	0.657208	0.238556	0.684876	0.646324	0.0297425	0.707546	-0.284181	0.646874	0.260915	0.678463	-0.230576	0.650994	0.235949	0.697917	-0.182884	0.393832	0.649032	0.526043	0.383318
9.78	0.386314	0.58001	0.621466	0.357953	0.236626	0.640467	0.654481	0.324753	0.36695	0.551984	0.577865	0.476165	0.400936	0.543136	0.580349	0.455465	0.361864	0.417819	0.699739	0.4526	0.426416	0.785987	0.318957	0.314102	0.44124	0.816159	0.27159	0.255793	0.374547	0.644576	0.555549	0.368241	-0.0838413	0.725101	0.067597	0.680169	-0.128971	0.670055	0.152062	0.715032	-0.194968	0.654202	0.235981	0.691607	0.655325	0.0322467	0.703513	-0.273091	0.656789	0.261071	0.670387	-0.225946	0.662712	0.237645	0.687636	-0.177467	0.398964	0.647254	0.524991	0.382458
9.79	0.380025	0.583896	0.623091	0.355534	0.242992	0.645717	0.64743	0.323788	0.36718	0.554944	0.576956	0.473644	0.400192	0.543295	0.581252	0.454778	0.35444	0.407785	0.708967	0.453266	0.429844	0.772618	0.339092	0.321422	0.441438	0.802502	0.300089	0.266589	0.37975	0.64378	0.551782	0.369965	-0.0799378	0.727252	0.0663621	0.678462	-0.11747	0.667712	0.148587	0.719919	-0.18523	0.65159	0.231885	0.698104	0.663699	0.0361403	0.699992	-0.261167	0.666072	0.260493	0.663018	-0.22113	0.673766	0.238141	0.6784	-0.170591	0.403339	0.6453	0.524718	0.381546
9.8	0.376168	0.585273	0.62484	0.354299	0.250036	0.649816	0.639413	0.326147	0.364122	0.561518	0.577136	0.468004	0.394408	0.544599	0.582673	0.456449	0.347608	0.397436	0.718136	0.453315	0.431614	0.758769	0.361203	0.32789	0.439796	0.788559	0.328634	0.277046	0.38468	0.642158	0.548997	0.371829	-0.0781374	0.72863	0.0665052	0.677178	-0.108522	0.664409	0.146193	0.724852	-0.176313	0.649264	0.226557	0.704302	0.67152	0.0394831	0.696656	-0.249345	0.67479	0.258903	0.656453	-0.216095	0.684036	0.23751	0.670217	-0.162765	0.406933	0.643465	0.524753	0.380779
9.81	0.373166	0.585803	0.626312	0.354	0.256831	0.653016	0.630109	0.332521	0.35804	0.570839	0.577571	0.460827	0.385093	0.547218	0.584289	0.459197	0.341629	0.388695	0.726478	0.452146	0.431849	0.744247	0.384919	0.333826	0.437448	0.773497	0.357345	0.287482	0.389093	0.639854	0.547244	0.373787	-0.0779387	0.72911	0.0676345	0.676572	-0.102048	0.66026	0.144248	0.729955	-0.1685	0.646757	0.22103	0.710253	0.678594	0.0412111	0.693493	-0.238495	0.682962	0.256195	0.650706	-0.210971	0.693444	0.235998	0.662914	-0.154868	0.409945	0.64168	0.524937	0.380305
9.82	0.36962	0.585911	0.628317	0.353987	0.264696	0.654764	0.620014	0.341764	0.351737	0.580331	0.57617	0.45555	0.376837	0.550199	0.585165	0.461364	0.33676	0.381092	0.734589	0.449155	0.430585	0.728946	0.409867	0.339475	0.434395	0.757393	0.385913	0.297873	0.39288	0.637015	0.546521	0.37573	-0.078672	0.728823	0.0694561	0.676612	-0.097604	0.655505	0.142474	0.735179	-0.16221	0.643691	0.216071	0.716005	0.685117	0.0410001	0.690341	-0.228831	0.690677	0.252713	0.645552	-0.205827	0.70207	0.233749	0.656243	-0.147663	0.412232	0.640101	0.52508	0.380298
9.83	0.365705	0.585312	0.63139	0.353576	0.273809	0.654982	0.609683	0.352582	0.350723	0.585134	0.571421	0.456169	0.376069	0.551263	0.584635	0.461392	0.334361	0.373883	0.741213	0.446114	0.428064	0.712539	0.435704	0.34527	0.431266	0.739676	0.414596	0.30822	0.396033	0.633814	0.546708	0.377555	-0.0798992	0.727959	0.0716489	0.67717	-0.0951071	0.650396	0.14093	0.740323	-0.157666	0.63996	0.21182	0.721613	0.691349	0.0386594	0.687087	-0.220122	0.697868	0.248418	0.641113	-0.200607	0.709927	0.23084	0.650122	-0.141624	0.4139	0.638745	0.525043	0.380816
9.84	0.361791	0.584806	0.634764	0.352397	0.283919	0.653788	0.599503	0.36407	0.356868	0.58405	0.564416	0.461482	0.382112	0.551015	0.583176	0.458562	0.336257	0.365983	0.744771	0.445314	0.424574	0.694707	0.462242	0.351357	0.428367	0.720157	0.443403	0.318228	0.398804	0.630247	0.547632	0.379267	-0.0810095	0.726711	0.0740499	0.678119	-0.0947636	0.645051	0.139262	0.745342	-0.154694	0.635745	0.20793	0.727092	0.697374	0.0341078	0.68371	-0.212241	0.704671	0.243419	0.637253	-0.19518	0.716921	0.227399	0.644741	-0.13647	0.415367	0.637389	0.524826	0.38179
9.85	0.35835	0.585596	0.637272	0.350067	0.295039	0.652089	0.587998	0.376817	0.365567	0.581286	0.557543	0.46649	0.388606	0.551307	0.581424	0.454964	0.340842	0.360054	0.745128	0.446064	0.420297	0.675231	0.489345	0.357709	0.42519	0.699127	0.472211	0.3278	0.401501	0.626332	0.549036	0.380874	-0.081502	0.725219	0.0765619	0.679377	-0.0957112	0.639584	0.137496	0.750244	-0.153098	0.63128	0.2039	0.732441	0.703169	0.0272033	0.68035	-0.204786	0.711197	0.237618	0.63393	-0.189392	0.723097	0.223228	0.640315	-0.131517	0.416903	0.635911	0.524454	0.383089
9.86	0.356052	0.587997	0.638246	0.346596	0.307255	0.651237	0.575907	0.387061	0.371327	0.581389	0.552509	0.467799	0.392532	0.552358	0.579873	0.452291	0.344294	0.355714	0.745781	0.445804	0.415303	0.654031	0.516856	0.364177	0.42124	0.676924	0.500823	0.336908	0.404187	0.622361	0.550561	0.382339	-0.0811716	0.723487	0.0789283	0.68099	-0.0972014	0.634087	0.135816	0.755009	-0.152609	0.626752	0.199443	0.737642	0.708601	0.0184452	0.677289	-0.197038	0.717537	0.230943	0.631075	-0.183167	0.728752	0.218258	0.6366	-0.126588	0.418571	0.634342	0.523932	0.384581
9.87	0.355244	0.59131	0.637653	0.342859	0.312539	0.655338	0.565256	0.391582	0.371242	0.586843	0.549317	0.464807	0.393919	0.553686	0.578828	0.450797	0.345057	0.354313	0.746977	0.444323	0.409677	0.630968	0.544674	0.370639	0.416856	0.653439	0.528915	0.345685	0.406897	0.61864	0.551851	0.383641	-0.0799803	0.721537	0.0808614	0.68297	-0.0988889	0.628721	0.134304	0.759535	-0.152658	0.622329	0.194738	0.742617	0.713547	0.00881467	0.674795	-0.188214	0.723741	0.223436	0.628606	-0.176434	0.73429	0.212598	0.633082	-0.121768	0.420338	0.632738	0.523268	0.386199
9.88	0.355907	0.594457	0.635933	0.339913	0.317531	0.65912	0.554819	0.39612	0.36749	0.595939	0.545483	0.460712	0.391275	0.555803	0.578362	0.451093	0.34345	0.355782	0.749418	0.440266	0.403238	0.605983	0.572861	0.376847	0.412247	0.629302	0.555905	0.353556	0.409646	0.615336	0.55272	0.384775	-0.0780273	0.719384	0.0820532	0.685322	-0.100452	0.623674	0.132861	0.763733	-0.152814	0.618241	0.190081	0.747191	0.717897	-0.00141578	0.672931	-0.178286	0.729838	0.215243	0.626434	-0.169082	0.739996	0.206315	0.629447	-0.116776	0.422098	0.631186	0.522496	0.38786
9.89	0.357212	0.596249	0.634446	0.338179	0.320948	0.662699	0.546274	0.399258	0.365911	0.603196	0.539803	0.459213	0.386094	0.559472	0.577876	0.451643	0.340914	0.360866	0.752051	0.433558	0.39559	0.57923	0.601528	0.382315	0.409063	0.604355	0.581457	0.359625	0.412321	0.613037	0.552776	0.385507	-0.0752531	0.717069	0.0824065	0.68801	-0.101607	0.619042	0.131473	0.767579	-0.152903	0.614613	0.185459	0.751317	0.721625	-0.0121294	0.671546	-0.167738	0.735813	0.206621	0.624437	-0.161137	0.745874	0.199406	0.625766	-0.111026	0.423706	0.62983	0.521625	0.389482
9.9	0.358463	0.596559	0.633947	0.337244	0.319078	0.669167	0.540124	0.398334	0.368109	0.607221	0.533619	0.459379	0.382125	0.562354	0.577843	0.451481	0.339078	0.36648	0.753447	0.427826	0.38682	0.550103	0.630523	0.387553	0.40565	0.579624	0.606636	0.362598	0.414983	0.61176	0.552023	0.38576	-0.0717134	0.714632	0.0818581	0.690983	-0.102261	0.614984	0.13	0.770998	-0.152686	0.611797	0.180851	0.754775	0.724898	-0.0229572	0.670404	-0.1567	0.741674	0.197849	0.62246	-0.152704	0.751862	0.191795	0.622139	-0.104215	0.425122	0.628705	0.520716	0.390968
9.91	0.359627	0.596594	0.633678	0.336446	0.316717	0.676251	0.535185	0.394909	0.370482	0.611402	0.528077	0.458329	0.382666	0.566319	0.573979	0.450995	0.338185	0.370023	0.75196	0.428101	0.376872	0.518276	0.659276	0.393336	0.400183	0.552932	0.634362	0.36291	0.417498	0.611426	0.550675	0.385501	-0.0674394	0.712171	0.0805902	0.694096	-0.102299	0.611717	0.128358	0.773862	-0.151859	0.609867	0.176448	0.75754	0.728022	-0.0337315	0.669223	-0.144869	0.747446	0.189153	0.620358	-0.143881	0.75781	0.183562	0.618663	-0.0963631	0.426389	0.627846	0.51982	0.392158
9.92	0.360745	0.597302	0.632935	0.33539	0.314472	0.682986	0.53122	0.39044	0.370985	0.617538	0.522814	0.455721	0.385761	0.571333	0.567558	0.450162	0.336739	0.374844	0.749526	0.429314	0.365879	0.485748	0.686965	0.397819	0.391388	0.525306	0.662929	0.362483	0.419738	0.612028	0.548802	0.384783	-0.062507	0.709833	0.0790186	0.697127	-0.101585	0.609294	0.126813	0.776119	-0.15021	0.608752	0.172596	0.75965	0.731363	-0.0444728	0.667638	-0.131873	0.753078	0.180625	0.618119	-0.134819	0.763529	0.17502	0.615425	-0.0874298	0.427394	0.627354	0.518991	0.392949
9.93	0.361918	0.598671	0.631758	0.333902	0.31195	0.689821	0.527351	0.385662	0.370911	0.624838	0.51655	0.452967	0.38921	0.576745	0.560863	0.44868	0.331708	0.380003	0.748409	0.43064	0.353208	0.455099	0.71348	0.398843	0.376306	0.501668	0.689463	0.362442	0.421466	0.613396	0.546674	0.383743	-0.0569435	0.707818	0.0775814	0.699809	-0.0999136	0.607666	0.125384	0.777842	-0.147691	0.608382	0.169536	0.761128	0.735097	-0.0552307	0.665355	-0.117831	0.758535	0.172379	0.615747	-0.125559	0.768736	0.166405	0.612705	-0.0771254	0.428014	0.627083	0.518447	0.393426
9.94	0.36342	0.600105	0.630462	0.332142	0.31021	0.695622	0.524176	0.380946	0.37151	0.632137	0.508899	0.451004	0.391548	0.582118	0.554489	0.447627	0.32736	0.383518	0.746424	0.434282	0.336352	0.428734	0.738192	0.397652	0.356724	0.481042	0.713539	0.363604	0.422562	0.615021	0.544737	0.382692	-0.0509306	0.706413	0.0763474	0.701825	-0.0971439	0.606846	0.123849	0.779078	-0.144531	0.608654	0.167369	0.761996	0.739044	-0.0658431	0.662468	-0.103026	0.763789	0.164318	0.613293	-0.116181	0.773364	0.158008	0.610486	-0.0651754	0.4286	0.627319	0.517685	0.393415
