Tiempo;Evento
62.66;> Despegue derecho
63.15;< Contacto inicial derecho
63.25;> Despegue izquierdo
63.52;< Contacto inicial izquierdo
63.71;> Despegue derecho
64.21;< Contacto inicial derecho
64.31;> Despegue izquierdo
64.54;< Contacto inicial izquierdo
64.75;> Despegue derecho
65.26;< Contacto inicial derecho
65.36;> Despegue izquierdo
