Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
58.16	0.630443	-0.362429	-0.325818	0.604177	0.548552	-0.297424	-0.421625	0.657923	0.574837	-0.38424	-0.484796	0.535626	0.646169	-0.191914	-0.227234	0.702851	0.503596	-0.313915	-0.358508	0.720639	0.829339	-0.353787	-0.189313	0.388834	0.697025	-0.385866	-0.150133	0.585427	0.667569	-0.323584	-0.277425	0.610476	0.721026	0.19803	-0.630019	0.209716	0.667178	0.2129	-0.666154	0.256488	-0.660771	-0.174909	0.670511	-0.288448	0.178889	-0.699638	0.127891	0.679815	0.1044	-0.677837	0.164512	0.708924	0.0316565	-0.680672	0.13843	0.718694	0.657333	-0.298971	-0.292605	0.626827
58.17	0.630541	-0.359383	-0.321644	0.608118	0.553233	-0.29409	-0.419261	0.657012	0.577072	-0.383773	-0.484261	0.534039	0.647154	-0.19265	-0.225877	0.702181	0.502586	-0.310184	-0.353839	0.725252	0.822097	-0.348701	-0.194528	0.405861	0.683031	-0.371418	-0.159665	0.608296	0.668462	-0.320024	-0.273332	0.613215	0.720094	0.200574	-0.629401	0.212341	-0.664787	-0.218045	0.66543	-0.260226	-0.658167	-0.178044	0.670511	-0.292458	0.181126	-0.698239	0.133427	0.679597	0.100849	-0.678288	0.164952	0.708905	0.0310491	-0.679889	0.140085	0.71914	0.65919	-0.294226	-0.287176	0.629627
58.18	0.631414	-0.356071	-0.317539	0.611309	0.557084	-0.290998	-0.416866	0.656658	0.578929	-0.383837	-0.484179	0.532055	0.648169	-0.193654	-0.224318	0.701467	0.502406	-0.305625	-0.349087	0.729602	0.813631	-0.344178	-0.200032	0.423714	0.668441	-0.363971	-0.168076	0.626468	0.669396	-0.316191	-0.269391	0.615923	0.719412	0.202777	-0.628651	0.21477	-0.662076	-0.223799	0.664567	-0.264422	-0.655745	-0.182348	0.670045	-0.296288	0.184639	-0.696629	0.139368	0.679112	0.0966564	-0.678729	0.165647	0.708905	0.0299342	-0.679421	0.141843	0.719286	0.660915	-0.289241	-0.281798	0.632551
58.19	0.633346	-0.352467	-0.31341	0.613526	0.559918	-0.289377	-0.414084	0.656724	0.580253	-0.384423	-0.48462	0.529782	0.649274	-0.194776	-0.222705	0.700649	0.503055	-0.300427	-0.344239	0.733607	0.805373	-0.3376	-0.204252	0.442359	0.653877	-0.364116	-0.172633	0.640361	0.670427	-0.312149	-0.265588	0.61851	0.718849	0.204996	-0.627732	0.217222	-0.659191	-0.229736	0.66363	-0.268857	-0.653606	-0.187608	0.669118	-0.299806	0.189293	-0.694779	0.145406	0.67846	0.0927899	-0.678936	0.167049	0.708894	0.028657	-0.679212	0.14379	0.719149	0.662505	-0.283994	-0.276547	0.635575
58.2	0.635996	-0.348512	-0.309181	0.615188	0.562185	-0.288668	-0.411042	0.657011	0.580812	-0.386234	-0.486043	0.526538	0.650401	-0.195756	-0.221245	0.699792	0.504466	-0.294855	-0.338974	0.737341	0.797118	-0.328977	-0.209365	0.461025	0.640524	-0.367348	-0.174184	0.651494	0.671621	-0.307852	-0.261833	0.620964	0.718286	0.207475	-0.626668	0.219787	-0.656304	-0.23538	0.662693	-0.273311	-0.651733	-0.1935	0.667802	-0.303054	0.194713	-0.692716	0.151385	0.677728	0.0900569	-0.678703	0.169491	0.70889	0.0275409	-0.679057	0.146013	0.71889	0.663969	-0.278488	-0.271441	0.638677
58.21	0.638812	-0.344255	-0.304909	0.616797	0.564367	-0.287705	-0.408272	0.65729	0.580846	-0.389357	-0.488317	0.522078	0.651502	-0.196655	-0.219884	0.698944	0.50645	-0.289219	-0.333278	0.740801	0.787215	-0.320878	-0.217763	0.479489	0.62803	-0.364176	-0.178377	0.664181	0.672983	-0.303318	-0.258045	0.623302	0.717638	0.21039	-0.625464	0.222547	-0.653604	-0.240374	0.66181	-0.27754	-0.650034	-0.199704	0.666218	-0.306151	0.200383	-0.690497	0.157277	0.676996	0.0890622	-0.677924	0.173243	0.708854	0.027021	-0.678781	0.14881	0.718597	0.665306	-0.272751	-0.266441	0.64186
58.22	0.641399	-0.339826	-0.30061	0.618676	0.566602	-0.286089	-0.406045	0.657452	0.580786	-0.393146	-0.490645	0.517099	0.652633	-0.19747	-0.218597	0.698062	0.508647	-0.284011	-0.327303	0.743969	0.775098	-0.31523	-0.229218	0.497305	0.614504	-0.353021	-0.186175	0.680515	0.674605	-0.298509	-0.254142	0.62547	0.716868	0.213815	-0.624121	0.225512	-0.651223	-0.244554	0.660998	-0.281395	-0.648389	-0.205831	0.664514	-0.309268	0.205847	-0.688204	0.163079	0.676319	0.0900744	-0.676656	0.178384	0.708662	0.027401	-0.678331	0.15234	0.718268	0.666571	-0.26673	-0.261458	0.645119
58.23	0.643666	-0.335331	-0.296253	0.620871	0.568878	-0.284388	-0.404	0.657484	0.58111	-0.396519	-0.492011	0.512844	0.653716	-0.198009	-0.217492	0.697241	0.510694	-0.27976	-0.321026	0.746906	0.761803	-0.310978	-0.241521	0.514409	0.600213	-0.343127	-0.190267	0.696998	0.676495	-0.293442	-0.250023	0.627482	0.71594	0.217784	-0.622658	0.228686	-0.649199	-0.247981	0.660213	-0.284894	-0.646794	-0.211484	0.662814	-0.312426	0.210871	-0.685925	0.16875	0.675695	0.0929776	-0.674968	0.184741	0.708268	0.0292723	-0.677588	0.157051	0.717881	0.667808	-0.260386	-0.256449	0.648433
58.24	0.645731	-0.330857	-0.291784	0.623239	0.571266	-0.282997	-0.401568	0.657504	0.582625	-0.398282	-0.491659	0.510089	0.654731	-0.198321	-0.216445	0.696526	0.512382	-0.276639	-0.314194	0.749812	0.748179	-0.306158	-0.25199	0.531974	0.587224	-0.337977	-0.187144	0.711278	0.678646	-0.288117	-0.24563	0.629359	0.714849	0.22229	-0.621076	0.23204	-0.647529	-0.250793	0.659402	-0.288092	-0.645253	-0.216414	0.661178	-0.315685	0.215431	-0.683689	0.174269	0.675121	0.0973298	-0.672956	0.191934	0.707685	0.0327888	-0.676582	0.163059	0.717338	0.669006	-0.253833	-0.251488	0.651731
58.25	0.647749	-0.326428	-0.287145	0.625631	0.573895	-0.281484	-0.398396	0.657793	0.586145	-0.397753	-0.489303	0.508733	0.655752	-0.198486	-0.21537	0.695851	0.513692	-0.274791	-0.307227	0.752477	0.734204	-0.299842	-0.260036	0.550836	0.575462	-0.328799	-0.182318	0.726288	0.681023	-0.2826	-0.240955	0.631098	0.71356	0.227314	-0.619388	0.235623	-0.646157	-0.253239	0.658505	-0.291072	-0.643719	-0.220527	0.659639	-0.319171	0.219622	-0.681494	0.1796	0.674593	0.102738	-0.670742	0.199725	0.706866	0.0378825	-0.675393	0.170261	0.716534	0.670224	-0.247129	-0.246531	0.654942
58.26	0.649825	-0.322024	-0.282212	0.628	0.576667	-0.279638	-0.394622	0.658431	0.591437	-0.395291	-0.485422	0.508245	0.656807	-0.198512	-0.214287	0.695182	0.514782	-0.274176	-0.301054	0.754449	0.719941	-0.292462	-0.265003	0.570897	0.564207	-0.31235	-0.178195	0.743206	0.683555	-0.276961	-0.236014	0.632726	0.712033	0.232832	-0.617612	0.239487	-0.644984	-0.255614	0.657432	-0.294009	-0.6422	-0.223761	0.658227	-0.322874	0.223632	-0.679304	0.184838	0.67407	0.108911	-0.668448	0.207945	0.705743	0.0440023	-0.674167	0.178174	0.715414	0.671513	-0.240349	-0.241557	0.657992
58.27	0.652025	-0.317616	-0.276916	0.630318	0.579208	-0.277792	-0.390597	0.659382	0.597428	-0.391897	-0.480931	0.508136	0.657888	-0.198297	-0.21331	0.694522	0.515735	-0.275221	-0.297035	0.755011	0.706763	-0.283353	-0.265705	0.591268	0.554484	-0.294565	-0.17084	0.759337	0.686174	-0.271266	-0.230844	0.634264	0.710234	0.238791	-0.615771	0.243667	-0.643905	-0.258215	0.6561	-0.29706	-0.640745	-0.226333	0.656847	-0.326759	0.22762	-0.677063	0.190169	0.673507	0.115568	-0.666147	0.216439	0.704306	0.0504847	-0.672966	0.186379	0.714024	0.672911	-0.233564	-0.236545	0.660821
58.28	0.65429	-0.313111	-0.271231	0.632692	0.581354	-0.276228	-0.386526	0.660547	0.603097	-0.38855	-0.476506	0.508178	0.658932	-0.197877	-0.212407	0.693928	0.516698	-0.277658	-0.295365	0.754114	0.69585	-0.270998	-0.261944	0.611341	0.547024	-0.276163	-0.159618	0.773965	0.688819	-0.265506	-0.22548	0.635762	0.708181	0.245087	-0.613873	0.248137	-0.642781	-0.26135	0.654437	-0.3004	-0.639388	-0.228582	0.655331	-0.330868	0.231793	-0.674689	0.195838	0.672841	0.122437	-0.663876	0.22501	0.702601	0.0568699	-0.671789	0.19461	0.712456	0.674414	-0.22682	-0.231446	0.663439
