Tiempo;Evento
61.51;> Despegue derecho
61.98;< Contacto inicial derecho
62.06;> Despegue izquierdo
62.51;< Contacto inicial izquierdo
62.6;> Despegue derecho
63.08;< Contacto inicial derecho
63.17;> Despegue izquierdo
63.64;< Contacto inicial izquierdo
63.73;> Despegue derecho
64.19;< Contacto inicial derecho
64.29;> Despegue izquierdo
64.8;< Contacto inicial izquierdo
64.89;> Despegue derecho
65.36;< Contacto inicial derecho
65.45;> Despegue izquierdo
65.78;< Contacto inicial izquierdo
66.08;> Despegue derecho
68.36;< Contacto inicial izquierdo
68.58;> Despegue derecho
