Tiempo;Evento
54.87;> Despegue izquierdo
55.28;< Contacto inicial izquierdo
55.34;> Despegue derecho
55.76;< Contacto inicial derecho
55.82;> Despegue izquierdo
56.22;< Contacto inicial izquierdo
56.27;> Despegue derecho
56.69;< Contacto inicial derecho
56.75;> Despegue izquierdo
57.16;< Contacto inicial izquierdo
57.21;> Despegue derecho
57.64;< Contacto inicial derecho
57.71;> Despegue izquierdo
58.09;< Contacto inicial izquierdo
58.15;> Despegue derecho
58.56;< Contacto inicial derecho
58.63;> Despegue izquierdo
59.02;< Contacto inicial izquierdo
59.08;> Despegue derecho
59.5;< Contacto inicial derecho
59.57;> Despegue izquierdo
59.96;< Contacto inicial izquierdo
60.02;> Despegue derecho
60.43;< Contacto inicial derecho
60.5;> Despegue izquierdo
60.88;< Contacto inicial izquierdo
60.94;> Despegue derecho
61.36;< Contacto inicial derecho
61.43;> Despegue izquierdo
61.81;< Contacto inicial izquierdo
61.87;> Despegue derecho
62.29;< Contacto inicial derecho
62.36;> Despegue izquierdo
62.75;< Contacto inicial izquierdo
62.81;> Despegue derecho
63.26;< Contacto inicial derecho
63.34;> Despegue izquierdo
63.72;< Contacto inicial izquierdo
63.81;> Despegue derecho
64.3;< Contacto inicial derecho
64.32;> Despegue izquierdo
65.29;< Contacto inicial derecho
65.33;> Despegue izquierdo
65.61;< Contacto inicial izquierdo
66.05;> Despegue derecho
