Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
50.74	0.511833	-0.473042	-0.488481	0.525019	0.43013	-0.315462	-0.528023	0.660806	0.411805	-0.36814	-0.506178	0.662324	0.475868	-0.362065	-0.482448	0.64008	0.53025	-0.523622	-0.410606	0.525412	0.576773	-0.517868	-0.354576	0.522897	0.58772	-0.454531	-0.366157	0.560282	-0.509181	0.52663	0.470793	-0.49168	0.743908	0.00574281	-0.667237	0.036905	0.739118	0.0392937	-0.662846	0.113117	0.773185	0.0656557	-0.620702	0.112268	0.0752973	-0.66764	0.0922403	0.7349	0.100604	-0.617247	0.163083	0.763079	0.122022	-0.581265	0.177949	0.784587	0.477738	-0.479505	-0.520965	0.520035
50.75	0.510211	-0.47375	-0.489653	0.524867	0.42768	-0.315441	-0.530053	0.660781	0.409411	-0.363983	-0.507674	0.664956	0.474213	-0.366576	-0.48244	0.638746	0.531672	-0.526017	-0.408075	0.523552	0.583567	-0.518527	-0.34663	0.520026	0.589802	-0.456365	-0.364773	0.557499	-0.509621	0.526999	0.471149	-0.490487	0.744504	0.00662631	-0.666578	0.0366429	0.740879	0.0390072	-0.660857	0.11333	0.777236	0.0625217	-0.616495	0.109216	0.0757081	-0.667791	0.0921272	0.734735	0.101519	-0.616614	0.165247	0.763004	0.122732	-0.580413	0.180812	0.784452	0.477846	-0.479576	-0.521526	0.519308
50.76	0.508468	-0.474373	-0.490955	0.52478	0.424792	-0.316035	-0.532286	0.660564	0.407995	-0.363555	-0.510275	0.664069	0.474344	-0.370537	-0.481976	0.636709	0.532817	-0.528917	-0.406667	0.520552	0.590331	-0.518177	-0.339112	0.517693	0.591926	-0.459023	-0.362572	0.554494	-0.510147	0.527436	0.471449	-0.489179	0.74512	0.00736908	-0.665903	0.0362668	0.742587	0.0385641	-0.658956	0.113376	0.780921	0.0598515	-0.612565	0.106513	0.0759775	-0.668019	0.0917141	0.734552	0.102663	-0.616229	0.167285	0.762718	0.123851	-0.57973	0.183402	0.78418	0.47786	-0.479637	-0.522186	0.518574
50.77	0.506693	-0.475088	-0.492297	0.524592	0.421493	-0.317507	-0.534822	0.659923	0.407326	-0.367174	-0.513527	0.659969	0.476184	-0.371915	-0.482385	0.634218	0.533249	-0.532605	-0.406713	0.516296	0.5965	-0.518016	-0.333138	0.514652	0.594101	-0.462609	-0.35938	0.551256	-0.510693	0.527861	0.471795	-0.487816	0.745744	0.00796277	-0.665232	0.0356186	0.744249	0.0380579	-0.657135	0.113225	0.784148	0.0577837	-0.609012	0.104293	0.0761543	-0.668332	0.0910024	0.734337	0.104041	-0.616129	0.169211	0.762187	0.125382	-0.579366	0.185567	0.783696	0.477763	-0.479731	-0.522903	0.517854
50.78	0.504983	-0.476032	-0.493525	0.524232	0.417995	-0.319939	-0.537573	0.658737	0.407364	-0.374491	-0.517322	0.652832	0.479871	-0.371846	-0.483192	0.630857	0.533025	-0.536699	-0.407953	0.511286	0.601999	-0.519142	-0.329016	0.509742	0.59666	-0.466789	-0.355287	0.547609	-0.511176	0.528174	0.472305	-0.486477	0.746343	0.00843352	-0.664602	0.0347234	0.745859	0.0375874	-0.655383	0.112936	0.786834	0.0564534	-0.605938	0.102688	0.0762486	-0.668743	0.0899971	0.734077	0.105746	-0.616306	0.170992	0.761411	0.127292	-0.579439	0.18729	0.782924	0.47758	-0.479911	-0.523626	0.517125
50.79	0.503264	-0.477141	-0.494667	0.5238	0.414686	-0.323228	-0.540292	0.656996	0.408008	-0.384171	-0.521766	0.643197	0.485069	-0.371331	-0.483849	0.626667	0.532447	-0.540679	-0.409914	0.506098	0.606181	-0.522236	-0.32731	0.502675	0.599933	-0.471492	-0.350305	0.543196	-0.511567	0.528263	0.473071	-0.485222	0.74686	0.00888003	-0.664065	0.0337618	0.747406	0.037232	-0.653701	0.112575	0.789039	0.0556184	-0.603337	0.101534	0.0762126	-0.66926	0.0887452	0.733763	0.10792	-0.616738	0.172611	0.76039	0.129595	-0.579983	0.188553	0.781839	0.477324	-0.480206	-0.524329	0.516375
50.8	0.501288	-0.478295	-0.496007	0.523374	0.411938	-0.32698	-0.542842	0.654762	0.409227	-0.394253	-0.525796	0.632958	0.491576	-0.371516	-0.483929	0.621402	0.53163	-0.544273	-0.412221	0.501209	0.608941	-0.526938	-0.32799	0.493913	0.603742	-0.476923	-0.344551	0.537889	-0.511864	0.528047	0.47419	-0.484052	0.747289	0.00936789	-0.66362	0.0328562	0.748841	0.0370838	-0.652127	0.112219	0.790673	0.0552776	-0.601339	0.10086	0.0759953	-0.669868	0.087351	0.733397	0.11046	-0.61748	0.173916	0.759124	0.132363	-0.580921	0.189443	0.780463	0.476997	-0.480605	-0.525008	0.515615
50.81	0.498941	-0.479362	-0.497693	0.52304	0.409929	-0.33077	-0.545105	0.652234	0.412428	-0.401952	-0.52761	0.624472	0.499015	-0.372539	-0.483712	0.614998	-0.530725	0.547297	0.414591	-0.496901	0.610845	-0.532482	-0.329945	0.484219	0.607732	-0.48342	-0.337931	0.531761	-0.512084	0.527601	0.475593	-0.482927	0.747687	0.00989121	-0.663201	0.0321063	0.750139	0.0371771	-0.650673	0.111954	0.791743	0.0552869	-0.599968	0.100623	0.0755544	-0.670572	0.0858415	0.732978	0.113253	-0.618519	0.174917	0.757636	0.135726	-0.582188	0.190085	0.778783	0.47663	-0.4811	-0.525633	0.514856
50.82	0.496458	-0.480338	-0.499466	0.522817	0.408874	-0.334259	-0.546817	0.64968	0.419938	-0.404705	-0.526894	0.618262	0.507479	-0.373038	-0.486718	0.605321	-0.529892	0.549717	0.416649	-0.493385	0.612414	-0.53803	-0.331983	0.474615	0.612139	-0.490869	-0.330296	0.524632	-0.512196	0.526912	0.477311	-0.481863	0.748074	0.0104271	-0.662778	0.0316596	0.751183	0.0376667	-0.64944	0.111952	0.792277	0.055517	-0.599221	0.100744	0.0748387	-0.671413	0.084114	0.732481	0.116333	-0.619914	0.175419	0.755911	0.139749	-0.583738	0.190622	0.776777	0.476287	-0.48167	-0.526168	0.514093
50.83	0.494277	-0.481494	-0.500964	0.522388	0.409429	-0.336859	-0.547709	0.647231	0.432299	-0.401411	-0.523718	0.614578	0.514508	-0.38812	-0.477396	0.597275	-0.529122	0.551642	0.417976	-0.490935	0.614323	-0.543079	-0.332979	0.465615	0.617241	-0.499152	-0.321522	0.516222	-0.512172	0.526058	0.479239	-0.480908	0.748434	0.0110881	-0.662364	0.0315743	0.751879	0.0386445	-0.648512	0.112324	0.792357	0.0559557	-0.599016	0.101089	0.073723	-0.672459	0.0820106	0.731873	0.119646	-0.621523	0.17534	0.754089	0.144425	-0.585557	0.191137	0.774423	0.476072	-0.482256	-0.526634	0.513266
50.84	0.492489	-0.483048	-0.502137	0.521515	0.412434	-0.337756	-0.547303	0.645196	0.447989	-0.394854	-0.518638	0.611891	0.522853	-0.414557	-0.46582	0.581187	-0.528345	0.553075	0.418542	-0.489675	0.617294	-0.547355	-0.33204	0.457275	0.623322	-0.507886	-0.311728	0.506308	-0.511941	0.525078	0.481321	-0.480146	0.748677	0.0121084	-0.662065	0.0317313	0.752187	0.0401801	-0.647932	0.113065	0.792128	0.0567205	-0.599164	0.101576	0.0720857	-0.673779	0.0793364	0.731116	0.123009	-0.623286	0.174699	0.752239	0.149668	-0.587664	0.191532	0.771729	0.476022	-0.482747	-0.527133	0.512338
50.85	0.490947	-0.484995	-0.503028	0.520301	0.41845	-0.336174	-0.545365	0.643788	0.461071	-0.387724	-0.51306	0.611435	0.53028	-0.422276	-0.468827	0.566293	-0.527492	0.553884	0.418744	-0.489508	0.621602	-0.550634	-0.328808	0.449776	0.630051	-0.516948	-0.301252	0.495023	-0.511466	0.524065	0.483471	-0.479597	0.748735	0.0135278	-0.661966	0.0318315	0.752151	0.0422522	-0.647668	0.11406	0.791642	0.057942	-0.599575	0.10225	0.0699224	-0.675385	0.0759448	0.730204	0.126123	-0.625237	0.173478	0.750385	0.155146	-0.590085	0.191592	0.76878	0.476091	-0.483041	-0.527767	0.511343
50.86	0.489744	-0.48734	-0.503504	0.518781	0.427497	-0.331748	-0.542965	0.642168	0.469275	-0.383978	-0.509393	0.610623	0.532027	-0.425808	-0.475332	0.556502	-0.526312	0.554104	0.41925	-0.490096	0.626844	-0.553284	-0.323838	0.442801	0.637714	-0.526613	-0.289396	0.481924	-0.510819	0.523083	0.4856	-0.479208	0.748623	0.0151158	-0.662066	0.0316715	0.75186	0.0448061	-0.647641	0.115158	0.790912	0.0596564	-0.600223	0.103112	0.067291	-0.677164	0.0718547	0.729217	0.128787	-0.627417	0.171683	0.748524	0.160357	-0.59283	0.19107	0.765722	0.476239	-0.483143	-0.528547	0.510301
50.87	0.489093	-0.490027	-0.503175	0.517181	0.43817	-0.326008	-0.541843	0.638852	0.474652	-0.384381	-0.50922	0.606342	0.539314	-0.437433	-0.471851	0.543276	-0.524477	0.55385	0.420744	-0.491068	0.632826	-0.555728	-0.317794	0.435551	0.64598	-0.536899	-0.276158	0.467103	-0.510079	0.522189	0.487651	-0.478889	0.748302	0.0167237	-0.662401	0.0314462	0.751392	0.0477388	-0.64778	0.116239	0.789965	0.0617461	-0.601089	0.104089	0.0643658	-0.678965	0.0672416	0.728246	0.130939	-0.629916	0.169371	0.746575	0.164852	-0.59585	0.189772	0.762741	0.476356	-0.483072	-0.529494	0.509277
