Tiempo;Evento
56.48;> Despegue derecho
56.93;< Contacto inicial derecho
56.99;> Despegue izquierdo
57.4;< Contacto inicial izquierdo
57.46;> Despegue derecho
57.93;< Contacto inicial derecho
57.99;> Despegue izquierdo
58.39;< Contacto inicial izquierdo
58.45;> Despegue derecho
58.91;< Contacto inicial derecho
58.97;> Despegue izquierdo
59.36;< Contacto inicial izquierdo
59.41;> Despegue derecho
59.88;< Contacto inicial derecho
59.94;> Despegue izquierdo
60.33;< Contacto inicial izquierdo
60.38;> Despegue derecho
60.84;< Contacto inicial derecho
60.9;> Despegue izquierdo
61.29;< Contacto inicial izquierdo
61.35;> Despegue derecho
61.83;< Contacto inicial derecho
61.89;> Despegue izquierdo
62.27;< Contacto inicial izquierdo
62.32;> Despegue derecho
62.79;< Contacto inicial derecho
62.85;> Despegue izquierdo
63.22;< Contacto inicial izquierdo
63.27;> Despegue derecho
63.72;< Contacto inicial derecho
63.78;> Despegue izquierdo
64.16;< Contacto inicial izquierdo
64.21;> Despegue derecho
64.69;< Contacto inicial derecho
64.75;> Despegue izquierdo
65.13;< Contacto inicial izquierdo
65.18;> Despegue derecho
65.66;< Contacto inicial derecho
65.72;> Despegue izquierdo
66.1;< Contacto inicial izquierdo
66.16;> Despegue derecho
66.65;< Contacto inicial derecho
66.71;> Despegue izquierdo
67.08;< Contacto inicial izquierdo
67.14;> Despegue derecho
67.54;< Contacto inicial derecho
67.6;> Despegue izquierdo
67.65;< Contacto inicial izquierdo
67.65;> Despegue derecho
68.5;< Contacto inicial derecho
68.55;> Despegue izquierdo
