Tiempo;Evento
51.2;> Despegue izquierdo
51.63;< Contacto inicial izquierdo
51.7;> Despegue derecho
52.09;< Contacto inicial derecho
52.17;> Despegue izquierdo
52.32;< Contacto inicial izquierdo
52.42;> Despegue derecho
53.32;< Contacto inicial izquierdo
53.36;> Despegue derecho
53.9;< Contacto inicial derecho
53.97;> Despegue izquierdo
54.41;< Contacto inicial izquierdo
54.47;> Despegue derecho
54.87;< Contacto inicial derecho
54.93;> Despegue izquierdo
55.34;< Contacto inicial izquierdo
55.41;> Despegue derecho
55.77;< Contacto inicial derecho
55.82;> Despegue izquierdo
56.26;< Contacto inicial izquierdo
56.33;> Despegue derecho
56.71;< Contacto inicial derecho
56.77;> Despegue izquierdo
57.2;< Contacto inicial izquierdo
57.26;> Despegue derecho
57.64;< Contacto inicial derecho
57.69;> Despegue izquierdo
58.11;< Contacto inicial izquierdo
58.17;> Despegue derecho
58.55;< Contacto inicial derecho
58.61;> Despegue izquierdo
59.01;< Contacto inicial izquierdo
59.08;> Despegue derecho
59.48;< Contacto inicial derecho
59.53;> Despegue izquierdo
59.94;< Contacto inicial izquierdo
60;> Despegue derecho
60.39;< Contacto inicial derecho
60.44;> Despegue izquierdo
60.83;< Contacto inicial izquierdo
60.9;> Despegue derecho
61.3;< Contacto inicial derecho
61.35;> Despegue izquierdo
61.74;< Contacto inicial izquierdo
61.81;> Despegue derecho
62.19;< Contacto inicial derecho
62.24;> Despegue izquierdo
62.64;< Contacto inicial izquierdo
62.7;> Despegue derecho
63.07;< Contacto inicial derecho
63.13;> Despegue izquierdo
63.53;< Contacto inicial izquierdo
63.6;> Despegue derecho
63.97;< Contacto inicial derecho
64.03;> Despegue izquierdo
64.31;< Contacto inicial izquierdo
64.42;> Despegue derecho
64.8;< Contacto inicial derecho
64.85;> Despegue izquierdo
64.98;< Contacto inicial izquierdo
65.18;> Despegue derecho
