Tiempo;Evento
62.72;> Despegue izquierdo
63.24;< Contacto inicial izquierdo
63.31;> Despegue derecho
63.71;< Contacto inicial derecho
63.79;> Despegue izquierdo
64.31;< Contacto inicial izquierdo
64.38;> Despegue derecho
64.77;< Contacto inicial derecho
64.85;> Despegue izquierdo
65.35;< Contacto inicial izquierdo
65.46;> Despegue derecho
