Tiempo;Evento
57.91;> Despegue derecho
58.35;< Contacto inicial derecho
58.42;> Despegue izquierdo
58.83;< Contacto inicial izquierdo
58.9;> Despegue derecho
59.33;< Contacto inicial derecho
59.4;> Despegue izquierdo
59.81;< Contacto inicial izquierdo
59.88;> Despegue derecho
60.31;< Contacto inicial derecho
60.38;> Despegue izquierdo
60.78;< Contacto inicial izquierdo
60.85;> Despegue derecho
61.28;< Contacto inicial derecho
61.35;> Despegue izquierdo
61.76;< Contacto inicial izquierdo
61.83;> Despegue derecho
62.27;< Contacto inicial derecho
62.34;> Despegue izquierdo
62.74;< Contacto inicial izquierdo
62.81;> Despegue derecho
63.25;< Contacto inicial derecho
63.33;> Despegue izquierdo
63.59;< Contacto inicial izquierdo
63.76;> Despegue derecho
