Tiempo;Evento
62.01;> Despegue derecho
62.49;< Contacto inicial derecho
62.57;> Despegue izquierdo
62.99;< Contacto inicial izquierdo
63.06;> Despegue derecho
63.53;< Contacto inicial derecho
63.61;> Despegue izquierdo
64.04;< Contacto inicial izquierdo
64.12;> Despegue derecho
64.6;< Contacto inicial derecho
64.69;> Despegue izquierdo
65.12;< Contacto inicial izquierdo
65.2;> Despegue derecho
65.64;< Contacto inicial derecho
65.77;> Despegue izquierdo
