Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
32.77	0.579536	-0.40967	-0.442732	0.547993	0.390613	-0.374902	-0.479804	0.690404	0.43685	-0.331304	-0.438034	0.712409	0.380895	-0.426921	-0.453214	0.68356	0.679669	-0.437303	-0.267995	0.5244	0.718234	-0.427269	-0.264411	0.481319	0.584137	-0.422561	-0.40324	0.563581	0.615222	-0.393714	-0.369195	0.574618	0.767763	0.165948	-0.572445	0.235175	0.757004	0.161914	-0.600524	0.20025	0.690033	-0.035022	-0.658539	0.298251	0.168065	-0.634712	0.128165	0.743283	0.0445983	-0.59903	0.177386	0.779556	-0.104427	-0.364895	0.173644	0.908732	0.576752	-0.518934	-0.43336	0.458545
32.78	0.578921	-0.41175	-0.442784	0.547041	0.390005	-0.378846	-0.481326	0.68753	0.438806	-0.352504	-0.447056	0.69522	0.37291	-0.41304	-0.457937	0.693274	0.679728	-0.438069	-0.269479	0.522921	0.723452	-0.428992	-0.261806	0.47333	0.590183	-0.425871	-0.398979	0.557793	0.615432	-0.393006	-0.37041	0.574097	0.766143	0.165952	-0.573897	0.23691	0.755908	0.161486	-0.601333	0.202295	0.688958	-0.0356887	-0.658885	0.29989	0.167566	-0.637081	0.124925	0.741919	0.0434058	-0.600884	0.177195	0.778239	-0.105589	-0.366667	0.171938	0.908209	0.576787	-0.518732	-0.43294	0.459126
32.79	0.575843	-0.413707	-0.443804	0.547987	0.390299	-0.382399	-0.483132	0.684121	0.43025	-0.380073	-0.459769	0.677526	0.400364	-0.390389	-0.474044	0.680138	0.679388	-0.439039	-0.270902	0.521813	0.72892	-0.430648	-0.259084	0.464857	0.597921	-0.4293	-0.393904	0.550483	0.615825	-0.392263	-0.371707	0.573344	0.764346	0.166078	-0.575779	0.238058	0.754784	0.160939	-0.602313	0.204008	0.68782	-0.0365896	-0.65952	0.300994	0.166506	-0.639716	0.121234	0.740501	0.0419149	-0.603146	0.176514	0.776725	-0.106133	-0.369075	0.169958	0.907543	0.576786	-0.518692	-0.432396	0.459685
32.8	0.571485	-0.415601	-0.445498	0.549739	0.391627	-0.384589	-0.484056	0.681476	0.421943	-0.412752	-0.477562	0.650795	0.447489	-0.400743	-0.478716	0.640304	0.678915	-0.439322	-0.272419	0.5214	0.734914	-0.431976	-0.255573	0.456049	0.607523	-0.433026	-0.388162	0.54105	0.616269	-0.391493	-0.373003	0.572552	0.762478	0.1661	-0.578059	0.238505	0.753661	0.160101	-0.603475	0.20538	0.686699	-0.0379547	-0.660319	0.301633	0.164527	-0.64245	0.116923	0.739269	0.0404553	-0.605846	0.175274	0.774979	-0.106067	-0.371872	0.167571	0.906852	0.576397	-0.518193	-0.432278	0.460845
32.81	0.56815	-0.417785	-0.446081	0.551066	0.392611	-0.38722	-0.482214	0.680726	0.401707	-0.447399	-0.493547	0.628392	0.466541	-0.433743	-0.470754	0.610407	0.67849	-0.437936	-0.274513	0.522021	0.740844	-0.433334	-0.252307	0.446893	0.619116	-0.437266	-0.381896	0.528819	0.616346	-0.390723	-0.374397	0.572084	0.760515	0.165638	-0.580715	0.238644	0.752536	0.158776	-0.604869	0.206429	0.685373	-0.03988	-0.661314	0.30222	0.161481	-0.64506	0.111398	0.73852	0.0393155	-0.608954	0.173528	0.772992	-0.105203	-0.375261	0.164424	0.906132	0.576866	-0.517821	-0.431718	0.461201
32.82	0.56622	-0.420447	-0.445448	0.55154	0.39087	-0.391304	-0.47974	0.68114	0.379202	-0.471878	-0.496317	0.622259	0.487599	-0.445184	-0.461328	0.592651	0.677739	-0.435652	-0.277445	0.523356	0.746143	-0.435504	-0.250431	0.43691	0.632488	-0.442063	-0.374886	0.513808	0.615783	-0.390145	-0.376035	0.572011	0.758364	0.164593	-0.583736	0.238842	0.751394	0.157015	-0.606496	0.207162	0.683825	-0.0421609	-0.662491	0.30284	0.157222	-0.647462	0.104621	0.738328	0.0384471	-0.612531	0.171308	0.770702	-0.104097	-0.379221	0.160556	0.905305	0.577994	-0.517546	-0.430787	0.460968
32.83	0.564629	-0.42318	-0.444627	0.551743	0.385474	-0.397907	-0.480123	0.680119	0.388417	-0.475231	-0.487929	0.620656	0.508684	-0.433048	-0.465467	0.580561	0.676158	-0.433636	-0.281467	0.524925	0.751354	-0.438051	-0.248558	0.426377	0.647313	-0.44761	-0.366712	0.496139	0.614726	-0.389928	-0.377861	0.572091	0.756086	0.163192	-0.587171	0.238605	0.750217	0.154982	-0.60832	0.207612	0.682129	-0.0446409	-0.663868	0.303293	0.152259	-0.64983	0.0975238	0.73826	0.0375966	-0.616646	0.168538	0.768069	-0.103027	-0.38381	0.156249	0.904246	0.579085	-0.517033	-0.430051	0.460861
32.84	0.562162	-0.425402	-0.443772	0.553239	0.37939	-0.403926	-0.483709	0.677446	0.423061	-0.459029	-0.485851	0.611768	0.497652	-0.409406	-0.488208	0.588542	0.673496	-0.431706	-0.286979	0.526951	0.756412	-0.440903	-0.246971	0.415273	0.663809	-0.454324	-0.356476	0.47526	0.613629	-0.389953	-0.379695	0.572038	0.753787	0.161695	-0.591116	0.237153	0.74899	0.15276	-0.610319	0.207817	0.680322	-0.0471568	-0.665476	0.303448	0.146789	-0.652238	0.0907934	0.738103	0.0366227	-0.621309	0.165028	0.765114	-0.101777	-0.389289	0.15172	0.902816	0.58012	-0.516505	-0.429336	0.460819
32.85	0.557908	-0.427019	-0.443079	0.556843	0.37775	-0.40531	-0.486759	0.675348	0.467877	-0.428571	-0.49035	0.597474	0.489634	-0.400909	-0.494369	0.595927	0.669562	-0.428999	-0.293933	0.53033	0.761431	-0.443851	-0.245875	0.403441	0.682535	-0.462857	-0.342928	0.44979	0.612721	-0.390033	-0.381435	0.571799	0.751517	0.160022	-0.595628	0.234183	0.74768	0.150303	-0.612535	0.207812	0.678279	-0.0495575	-0.667319	0.303591	0.141258	-0.654693	0.0849468	0.737704	0.0356863	-0.626386	0.160709	0.761932	-0.100078	-0.395315	0.146874	0.901187	0.580907	-0.515827	-0.428884	0.461007
32.86	0.552381	-0.428276	-0.442028	0.562197	0.380233	-0.403344	-0.487802	0.674378	0.503747	-0.382745	-0.488002	0.601331	0.489525	-0.425221	-0.471383	0.597788	0.664461	-0.425089	-0.301358	0.535701	0.76647	-0.447186	-0.244989	0.390549	0.702647	-0.473551	-0.326275	0.419025	0.611937	-0.39016	-0.383057	0.571468	0.749419	0.157588	-0.600638	0.229718	0.746231	0.147504	-0.615048	0.207598	0.675952	-0.0518164	-0.669404	0.303812	0.136026	-0.657271	0.0799488	0.736953	0.035061	-0.631755	0.155616	0.758578	-0.0976446	-0.40152	0.141474	0.899574	0.58164	-0.514992	-0.428658	0.461227
